EmployeeID,Age,DistanceFromHome,Education,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Attrition_num
1,51,6,2,1,131160,1.0,11,0,1.0,6,1,0,0,0
2,31,10,1,1,41890,0.0,23,1,6.0,3,5,1,4,1
3,32,17,4,4,193280,1.0,15,3,5.0,2,5,0,3,0
4,38,2,5,3,83210,3.0,11,3,13.0,5,8,7,5,0
5,32,10,1,1,23420,4.0,12,2,9.0,2,6,0,4,0
6,46,8,3,4,40710,3.0,13,0,28.0,5,7,7,7,0
7,28,11,2,2,58130,2.0,20,1,5.0,2,0,0,0,1
8,29,18,3,2,31430,2.0,22,3,10.0,2,0,0,0,0
9,31,1,3,3,20440,0.0,21,0,10.0,2,9,7,8,0
10,25,7,4,4,134640,1.0,13,1,6.0,2,6,1,5,0
11,45,17,2,2,79910,0.0,13,2,21.0,2,20,4,10,0
12,36,28,1,1,33770,0.0,12,2,16.0,2,15,10,11,0
13,55,14,4,1,55380,0.0,17,0,37.0,2,36,4,13,0
14,47,1,1,1,57620,1.0,11,2,10.0,4,10,9,9,1
15,28,1,3,1,25920,1.0,14,0,5.0,2,5,0,4,0
16,37,1,3,2,53460,4.0,11,0,7.0,2,5,0,1,0
17,21,3,2,1,42130,1.0,12,3,3.0,3,3,1,0,0
18,37,1,3,2,41270,2.0,13,1,15.0,2,5,0,2,0
19,35,7,4,1,24380,7.0,16,0,10.0,5,7,6,2,0
20,38,8,3,1,68700,1.0,11,1,8.0,5,8,7,7,0
21,26,1,4,2,104470,1.0,18,0,6.0,3,6,1,4,0
22,50,8,4,1,96670,3.0,23,0,28.0,2,10,1,6,0
23,53,11,4,2,21480,3.0,11,0,21.0,2,5,1,3,0
25,29,16,4,1,65130,1.0,11,1,10.0,2,10,0,9,0
26,55,1,4,1,67990,3.0,11,0,12.0,2,10,0,8,0
27,26,9,3,1,162910,1.0,22,0,5.0,3,5,3,3,0
28,37,5,1,1,27050,1.0,11,0,17.0,2,17,5,7,0
29,44,1,2,2,103330,3.0,14,1,19.0,2,1,0,0,1
30,38,2,3,1,44480,9.0,12,0,10.0,3,2,1,2,0
31,26,4,3,3,68540,2.0,11,0,5.0,5,3,0,2,1
32,28,7,3,1,96370,1.0,13,0,5.0,6,5,0,2,0
33,49,1,1,2,35910,9.0,13,0,22.0,2,3,1,2,0
34,36,5,3,3,54050,4.0,14,0,10.0,2,8,7,7,0
35,31,9,4,1,46840,1.0,16,1,2.0,4,2,2,2,0
36,26,8,3,2,157870,1.0,12,2,8.0,5,8,7,4,1
37,37,9,1,1,15140,1.0,14,0,4.0,3,4,1,2,0
38,42,2,2,3,29560,5.0,13,0,23.0,2,20,4,8,0
39,18,1,4,1,23350,1.0,14,2,0.0,3,0,0,0,1
40,35,20,2,1,51540,0.0,19,0,12.0,2,11,6,9,0
41,36,8,3,3,69620,4.0,12,2,4.0,2,1,0,0,0
42,51,2,3,2,56750,5.0,13,0,13.0,2,4,1,2,0
43,41,29,1,1,23790,1.0,12,0,22.0,6,22,0,4,0
44,18,7,3,1,38120,1.0,15,0,0.0,3,0,0,0,0
45,28,9,3,1,46480,0.0,23,2,9.0,2,8,0,7,0
46,31,8,1,1,29360,4.0,12,1,10.0,2,8,7,7,0
47,39,5,4,2,21050,0.0,20,0,19.0,3,18,3,7,0
48,36,5,4,1,85780,7.0,21,0,11.0,4,9,0,8,0
49,32,2,3,2,27060,1.0,21,1,13.0,4,13,4,8,0
50,38,5,2,3,63840,3.0,19,2,19.0,4,10,0,1,0
51,58,2,3,2,39680,2.0,13,2,12.0,3,5,1,2,0
52,31,20,1,3,99070,0.0,13,1,6.0,3,5,0,3,0
53,31,7,4,2,132250,3.0,21,1,9.0,2,2,1,0,0
54,45,3,1,1,35400,1.0,13,0,24.0,6,24,9,11,0
55,31,16,4,2,28040,0.0,19,2,3.0,0,2,2,2,0
56,33,9,3,4,193920,6.0,12,1,12.0,3,10,8,8,0
57,39,1,4,1,196650,1.0,22,1,21.0,6,21,11,10,0
58,43,7,4,4,24390,0.0,15,0,9.0,2,8,1,7,0
59,49,1,3,3,73140,7.0,22,0,25.0,2,7,0,7,0
60,52,7,1,2,47740,2.0,18,1,11.0,2,8,7,7,1
61,27,15,4,3,39020,1.0,22,0,4.0,2,4,1,2,0
62,32,1,3,3,26620,1.0,11,1,13.0,6,13,11,9,0
63,27,13,2,4,28560,1.0,12,2,5.0,5,5,0,4,0
64,31,24,3,2,10810,4.0,11,3,13.0,4,7,1,7,0
65,32,7,3,2,24720,7.0,13,0,10.0,2,7,0,7,0
66,28,9,4,1,56730,5.0,14,1,5.0,4,3,2,2,1
67,30,13,3,4,41970,1.0,13,0,11.0,3,10,1,9,0
68,31,2,1,1,97130,1.0,17,0,10.0,5,10,8,9,0
69,39,19,4,1,20620,1.0,13,0,21.0,4,21,13,3,0
70,39,1,1,1,42840,4.0,17,1,12.0,0,1,0,0,1
71,33,4,2,4,47880,3.0,11,1,9.0,0,7,0,1,0
72,47,4,3,2,59060,4.0,23,0,21.0,4,3,1,1,0
73,43,14,3,5,38860,1.0,17,2,9.0,2,9,0,0,0
74,27,2,3,1,168230,0.0,17,0,6.0,3,5,1,4,0
75,54,1,4,2,29330,3.0,12,2,20.0,2,4,0,3,0
76,43,7,2,2,65000,8.0,23,0,10.0,3,1,0,0,0
77,45,3,1,1,171740,9.0,14,1,12.0,6,10,9,8,0
78,40,2,4,4,50330,2.0,14,2,6.0,6,4,0,2,0
79,29,29,3,1,23070,1.0,13,1,7.0,0,7,0,7,1
80,29,8,3,3,25870,0.0,22,2,4.0,3,3,2,2,0
81,30,10,3,2,55070,1.0,12,2,10.0,2,10,1,2,0
82,27,11,2,1,43930,1.0,18,1,8.0,2,8,0,7,0
83,37,1,4,2,133480,7.0,14,0,8.0,4,6,0,4,0
84,38,28,4,1,65830,0.0,12,0,12.0,1,11,2,9,0
85,31,6,3,3,81030,1.0,15,1,11.0,5,11,4,10,0
86,29,3,4,3,39780,1.0,11,0,7.0,0,7,1,7,0
87,35,16,2,3,25440,0.0,13,1,17.0,3,16,0,13,0
88,23,20,4,1,53990,1.0,23,0,4.0,2,4,0,2,0
89,41,9,2,1,54870,6.0,19,2,8.0,0,5,1,2,0
90,47,1,3,2,68340,3.0,16,1,5.0,2,0,0,0,0
91,42,3,4,1,10910,2.0,22,0,16.0,0,1,0,0,0
92,29,22,4,2,57360,1.0,22,0,4.0,1,4,0,2,0
93,42,7,4,3,22260,0.0,12,1,4.0,3,3,1,0,0
94,32,2,3,2,57470,1.0,13,0,8.0,0,8,0,7,0
95,48,13,4,4,98540,3.0,16,1,15.0,2,0,0,0,0
96,37,8,5,2,54670,4.0,12,0,13.0,2,7,6,7,0
97,30,25,4,1,53800,7.0,21,1,4.0,0,2,2,2,0
98,26,28,3,5,51510,1.0,15,3,8.0,3,8,7,7,0
99,42,2,2,1,21330,3.0,13,2,14.0,2,1,0,0,0
100,21,9,3,4,178750,1.0,12,0,3.0,5,3,1,2,1
101,36,28,3,2,24320,4.0,22,0,7.0,4,1,0,0,0
102,36,6,3,2,47710,4.0,13,1,16.0,2,13,1,12,0
103,57,21,4,5,191610,2.0,18,0,15.0,2,3,1,2,0
104,40,8,3,2,50870,3.0,14,1,10.0,3,7,1,7,0
105,21,1,5,2,28630,1.0,14,0,3.0,2,3,2,2,0
106,33,28,2,5,55610,1.0,21,1,1.0,3,1,0,0,1
107,37,5,3,4,21440,6.0,19,0,17.0,3,5,0,3,0
108,46,2,4,2,30650,2.0,11,0,7.0,3,1,0,0,0
109,41,16,1,1,28100,1.0,11,0,8.0,3,8,7,7,1
110,50,9,3,3,98880,6.0,15,0,20.0,2,4,1,3,0
111,40,8,3,1,86280,2.0,20,0,8.0,2,6,1,0,1
112,31,1,3,4,28670,0.0,24,0,3.0,5,2,2,2,0
113,21,10,2,1,53730,1.0,12,1,1.0,2,1,0,0,1
114,29,1,3,2,66670,9.0,12,1,6.0,6,3,1,2,0
115,35,29,3,3,50030,9.0,15,0,10.0,2,1,0,0,0
117,28,2,2,3,28580,1.0,12,0,7.0,2,7,0,7,0
118,49,2,3,2,52040,8.0,14,1,26.0,3,5,0,0,0
119,51,1,2,1,41050,4.0,22,1,18.0,2,7,0,7,0
120,36,15,2,1,96790,4.0,12,0,6.0,1,2,2,2,0
121,34,7,3,1,56170,8.0,25,1,9.0,3,5,0,4,1
122,55,26,3,1,104480,2.0,13,0,30.0,3,5,1,2,0
123,24,1,3,5,28970,1.0,18,3,5.0,4,5,0,3,0
124,30,3,3,2,59680,1.0,13,0,1.0,3,1,0,0,0
125,26,14,3,2,75100,0.0,18,3,7.0,3,6,0,4,1
126,22,16,5,1,29910,1.0,19,2,2.0,3,2,1,2,0
127,36,1,3,5,196360,1.0,12,1,10.0,3,10,9,0,0
128,30,3,2,3,11290,9.0,19,0,3.0,2,1,0,0,1
